scenario,faulted_drone,fault_time_s,detection_latency_s,nearest_healthy_separation_at_fault_m,nearest_healthy_separation_2s_m,nearest_healthy_separation_final_m
three_drones,0,7.000000000,0.120000000,0.904893540,1.269282558,2.256571320
five_drones,1,7.000000000,0.120000000,0.660757674,1.073419620,2.692363742
five_drones,3,12.000000000,0.120000000,0.648724818,1.958327084,4.680684822
seven_drones,1,7.000000000,0.120000000,0.502713635,1.049140199,2.059953900
seven_drones,3,12.000000000,0.120000000,0.497077958,1.901218257,4.727563821
seven_drones,5,14.000000000,0.120000000,0.498061574,1.690278168,3.820241258
